type,swc,rwc,alpha,n,m,Ks_m_per_hour,Ks_m_per_sec
sand,0.44000,0.02000,13.80000,2.09000,0.52153,1.50000E-01,4.16667E-05
loamy sand,0.44000,0.04000,11.50000,1.87000,0.46524,1.00000E-01,2.77778E-05
sandy loam,0.45000,0.05000,6.80000,1.62000,0.38272,3.90000E-02,1.08333E-05
loam,0.51000,0.04000,9.00000,1.42000,0.29577,3.30000E-02,9.16667E-06
silt loam,0.50000,0.03000,4.80000,1.36000,0.26471,9.00000E-03,2.50000E-06
sandy clay loam,0.40000,0.07000,3.60000,1.56000,0.35897,4.40000E-03,1.22222E-06
clay loam,0.46000,0.09000,3.90000,1.41000,0.29078,4.80000E-03,1.33333E-06
silty clay loam,0.46000,0.06000,3.10000,1.32000,0.24242,1.30000E-03,3.61111E-07
sandy clay,0.43000,0.11000,3.40000,1.40000,0.28571,7.30000E-04,2.02778E-07
silty clay,0.48000,0.07000,2.90000,1.26000,0.20635,7.60000E-04,2.11111E-07
clay,0.48000,0.10000,2.70000,1.29000,0.22481,4.10000E-04,1.13889E-07
